avganncount,avgdeathsperyear
165.0,76
33.0,16
12.0,6
186.0,81
140.0,58
26.0,9
122.0,45
326.0,140
27.0,13
102.0,45
1184.0,430
6298.0,2451
53.0,24
107.0,55
455.0,200
1217.0,464
545.0,193
45.0,19
35.0,16
210.0,97
98.0,44
583.0,206
1401.0,577
1006.0,396
57.0,25
39.0,10
63.0,28
102.0,38
116.0,52
161.0,64
2082.0,759
41.0,20
135.0,48
169.0,77
124.0,37
111.0,49
394.0,155
211.0,80
105.0,47
2350.0,941
179.0,78
1015.0,377
478.0,203
81.0,37
188.0,90
594.0,215
47.0,22
155.0,63
189.0,78
1619.0,680
760.0,318
106.0,41
146.0,54
707.0,279
46.0,18
110.0,46
157.0,64
168.0,75
238.0,92
61.0,28
120.0,48
209.0,87
497.0,202
272.0,106
282.0,118
1273.0,458
599.0,250
27.0,10
549.0,234
134.0,65
328.0,113
207.0,85
296.0,125
256.0,110
126.0,42
65.0,30
73.0,24
96.0,41
600.0,242
486.0,200
1620.0,607
177.0,69
383.0,136
741.0,308
284.0,108
236.0,99
371.0,154
929.0,355
128.0,53
208.0,82
313.0,139
250.0,93
242.0,110
1246.0,451
517.0,183
2676.0,977
4499.0,1714
406.0,153
174.0,69
862.0,326
522.0,207
572.0,239
210.0,84
1037.0,367
166.0,64
1302.0,450
1186.0,346
140.0,59
4139.0,1292
3222.0,1302
254.0,100
433.0,180
151.0,64
280.0,111
782.0,320
564.0,221
413.0,164
3144.0,1419
1892.0,685
860.0,313
53.0,24
192.0,78
595.0,243
202.0,83
32.0,14
554.0,261
78.0,30
73.0,35
176.0,74
28.0,13
248.0,113
283.0,122
31.0,12
106.0,51
41.0,13
37.0,15
27.0,11
171.0,62
295.0,80
102.0,38
1009.0,268
73.0,25
37.0,13
26.0,8
44.0,19
156.0,48
34.0,12
39.0,14
49.0,19
33.0,11
9.0,4
3540.0,1056
35.0,16
97.0,39
93.0,35
142.0,32
208.0,59
97.0,35
1251.0,361
81.0,20
672.0,223
12.0,4
858.0,275
192.0,76
261.0,100
188.0,76
737.0,252
48.0,17
232.0,95
48.0,16
128.0,48
174.0,63
161.0,66
393.0,150
343.0,123
274.0,112
369.0,133
221.0,106
425.0,174
98.0,50
84.0,35
181.0,81
86.0,36
657.0,224
391.0,163
31.0,14
44.0,20
180.0,68
104.0,39
105.0,56
82.0,39
267.0,115
163.0,65
168.0,78
50.0,23
76.0,33
1557.0,496
77.0,38
29.0,13
209.0,90
56.0,24
74.0,46
138.0,60
66.0,29
3959.0,1229
272.0,116
78.0,30
136.0,56
316.0,124
389.0,157
94.0,46
224.0,90
138.0,43
84.0,50
85.0,32
69.0,24
211.0,97
568.0,185
1459.0,565
479.0,163
416.0,176
123.0,54
38150.0,14010
611.0,212
1625.0,483
116.0,43
513.0,197
877.0,343
57.0,24
45.0,13
155.0,62
68.0,34
1601.0,551
815.0,298
628.0,227
12694.0,4410
1948.0,686
134.0,53
8857.0,3377
6346.0,2389
216.0,75
7241.0,2778
419.0,189
13294.0,4895
3948.0,1387
2718.0,1065
1459.0,520
3648.0,1186
1912.0,664
7334.0,2355
1225.0,396
1108.0,465
16.0,9
257.0,106
290.0,133
2017.0,744
2647.0,962
2075.0,793
386.0,155
372.0,139
98.0,41
1436.0,564
412.0,142
3629.0,1234
252.0,108
760.0,282
291.0,116
1522.0,557
62.0,24
2362.0,753
68.0,17
24.0,13
24.0,13
1159.0,340
215.0,80
322.0,138
105.0,39
10.0,4
50.0,15
33.0,14
17.0,7
22.0,7
31.0,11
178.0,78
2459.0,909
7.0,4
406.0,158
984.0,259
138.0,26
102.0,32
2600.0,825
288.0,110
183.0,58
22.0,7
47.0,16
40.0,12
52.0,21
2635.0,846
8.0,5
40.0,17
23.0,8
233.0,69
1230.0,419
80.0,35
26.0,11
105.0,42
724.0,281
615.0,264
55.0,21
148.0,54
208.0,87
126.0,53
100.0,41
20.0,7
74.0,23
26.0,10
64.0,12
3168.0,1154
113.0,37
4431.0,1477
387.0,149
2371.0,1004
715.0,291
7861.0,2722
64.0,16
3932.0,1349
3012.0,1037
3190.0,1170
4132.0,1539
92.0,42
62.0,24
484.0,207
228.0,81
161.0,66
114.0,50
47.0,22
223.0,115
616.0,262
125.0,50
945.0,370
202.0,92
691.0,315
228.0,125
177.0,64
180.0,78
120.0,49
120.0,46
49.0,24
114.0,46
416.0,153
155.0,65
781.0,314
112.0,37
571.0,210
86.0,36
132.0,53
196.0,78
471.0,188
743.0,253
280.0,119
110.0,54
19.0,9
4630.0,1813
238.0,95
233.0,91
297.0,113
845.0,282
522.0,181
39.0,18
108.0,57
182.0,99
308.0,119
100.0,41
1069.0,371
105.0,45
819.0,344
102.0,45
249.0,125
316.0,141
123.0,55
257.0,101
659.0,238
107.0,37
162.0,61
160.0,70
218.0,72
560.0,217
116.0,55
707.0,237
2221.0,750
333.0,147
158.0,70
891.0,332
442.0,165
114.0,36
63.0,27
146.0,58
77.0,26
67.0,30
28.0,15
191.0,81
72.0,31
37.0,13
49.0,19
435.0,159
73.0,27
367.0,139
16.0,7
158.0,61
54.0,20
173.0,65
33.0,11
155.0,49
83.0,23
68.0,24
50.0,21
37.0,17
48.0,17
98.0,48
51.0,24
141.0,60
239.0,98
959.0,398
1189.0,413
110.0,48
55.0,22
7.0,4
136.0,55
728.0,285
102.0,42
42.0,17
75.0,35
346.0,141
55.0,22
180.0,70
232.0,82
397.0,149
82.0,33
118.0,59
459.0,225
165.0,76
194.0,86
285.0,121
430.0,269
146.0,66
184.0,88
227.0,80
67.0,28
137.0,59
116.0,48
54.0,27
160.0,56
178.0,83
326.0,137
69.0,28
235.0,101
150.0,59
129.0,63
40.0,24
697.0,222
158.0,62
33.0,13
146.0,58
75.0,40
93.0,39
126.0,63
70.0,37
141.0,64
106.0,45
116.0,49
49.0,21
144.0,47
77.0,39
250.0,103
269.0,127
101.0,49
69.0,28
49.0,24
114.0,45
90.0,39
139.0,58
105.0,43
74.0,35
34.0,21
150.0,64
198.0,85
61.0,30
100.0,50
164.0,72
74.0,31
639.0,229
465.0,195
254.0,126
62.0,26
228.0,84
279.0,107
360.0,153
59.0,28
39.0,21
473.0,207
82.0,40
52.0,22
337.0,119
47.0,22
1089.0,386
115.0,51
376.0,139
100.0,40
150.0,65
45.0,23
95.0,40
47.0,23
47.0,19
90.0,45
64.0,35
168.0,93
550.0,210
1962.667684,7
1962.667684,6
1962.667684,13
1962.667684,9
1962.667684,3
1962.667684,17
1962.667684,5
1962.667684,19
1962.667684,79
1962.667684,5
1962.667684,4
1962.667684,31
1962.667684,42
1962.667684,11
1962.667684,796
1962.667684,9
1962.667684,16
1962.667684,6
1962.667684,4
1962.667684,126
1962.667684,9
1962.667684,31
1962.667684,6
1962.667684,65
1962.667684,70
1962.667684,30
1962.667684,25
1962.667684,11
1962.667684,56
1962.667684,16
1962.667684,99
1962.667684,20
1962.667684,7
1962.667684,25
1962.667684,42
1962.667684,7
1962.667684,10
1962.667684,39
1962.667684,12
1962.667684,13
1962.667684,18
1962.667684,16
1962.667684,36
1962.667684,25
1962.667684,9
1962.667684,152
1962.667684,15
1962.667684,24
1962.667684,70
1962.667684,13
1962.667684,8
1962.667684,20
1962.667684,118
1962.667684,11
1962.667684,864
1962.667684,29
1962.667684,374
1962.667684,7
1962.667684,14
1962.667684,13
1962.667684,9
1962.667684,4
1962.667684,10
1962.667684,53
1962.667684,15
1962.667684,9
1962.667684,14
1962.667684,4
1962.667684,18
1962.667684,6
1962.667684,23
1962.667684,16
1962.667684,326
106.0,46
101.0,47
119.0,47
51.0,22
258.0,102
79.0,33
177.0,80
526.0,183
120.0,45
332.0,130
176.0,68
61.0,23
87.0,38
126.0,51
407.0,126
72.0,32
92.0,40
211.0,84
507.0,194
37.0,16
60.0,26
176.0,76
103.0,52
296.0,115
219.0,89
131.0,59
58.0,29
108.0,47
832.0,322
29.0,11
59.0,21
81.0,23
24.0,10
22.0,5
15.0,6
66.0,15
123.0,38
26.0,9
157.0,74
883.0,329
54.0,24
5047.0,1524
5129.0,1741
1190.0,389
1021.0,339
5021.0,1788
1573.0,534
754.0,239
569.0,229
125.0,53
176.0,74
940.0,347
2780.0,1022
1447.0,525
2881.0,1084
1031.0,426
131.0,56
1003.0,395
147.0,72
3721.0,1571
8954.0,3397
58.0,19
68.0,32
1366.0,561
1269.0,557
935.0,357
1869.0,756
376.0,170
176.0,73
103.0,48
4383.0,1638
1537.0,662
98.0,39
698.0,300
66.0,34
224.0,101
85.0,48
68.0,28
89.0,39
56.0,32
119.0,47
138.0,60
1300.0,567
115.0,47
769.0,335
6000.0,2154
67.0,50
1056.0,472
74.0,35
34.0,19
2251.0,879
3895.0,1519
950.0,369
561.0,227
296.0,139
32.0,17
70.0,41
2013.0,823
2696.0,1089
1068.0,446
11495.0,4052
420.0,181
466.0,171
879.0,380
314.0,146
216.0,101
4568.0,1645
1081.0,413
8287.0,3265
3154.0,1281
5978.0,2528
3846.0,1386
505.0,226
1072.0,381
1630.0,692
3400.0,1382
708.0,314
3000.0,1247
1940.0,729
1067.0,358
240.0,120
120.0,57
214.0,61
3119.0,1430
143.0,63
570.0,189
266.0,120
222.0,106
91.0,47
17.0,10
1083.0,392
29.0,16
473.0,201
30.0,16
91.0,41
420.0,182
124.0,61
241.0,112
31.0,14
24.0,12
322.0,138
173.0,81
244.0,114
30.0,13
35.0,14
15.0,8
22.0,8
74.0,34
92.0,43
124.0,58
42.0,21
57.0,30
269.0,124
81.0,31
62.0,29
54.0,28
219.0,132
162.0,82
204.0,76
55.0,25
196.0,66
183.0,83
145.0,69
51.0,20
99.0,43
221.0,102
84.0,38
400.0,179
69.0,27
55.0,28
71.0,37
3322.0,1373
238.0,107
242.0,108
166.0,96
92.0,47
295.0,119
248.0,118
203.0,86
361.0,152
59.0,39
18.0,8
432.0,170
152.0,68
187.0,109
257.0,114
73.0,28
41.0,18
2938.0,1155
336.0,137
312.0,131
65.0,29
48.0,14
86.0,35
110.0,46
361.0,140
1976.0,720
231.0,93
265.0,108
450.0,209
137.0,46
170.0,88
929.0,305
684.0,334
16.0,5
47.0,17
39.0,18
104.0,41
1208.0,509
91.0,42
640.0,281
383.0,159
48.0,17
1780.0,748
342.0,152
675.0,273
157.0,61
1588.0,586
61.0,23
3314.0,1262
416.0,153
16.0,5
170.0,67
348.0,148
146.0,59
66.0,26
301.0,106
32.0,17
106.0,47
169.0,75
569.0,241
275.0,127
625.0,263
271.0,105
269.0,110
406.0,185
264.0,112
1721.0,706
180.0,67
215.0,90
814.0,360
1007.0,370
231.0,108
624.0,259
214.0,96
276.0,113
7637.0,3091
293.0,128
211.0,91
747.0,234
495.0,208
720.0,272
152.0,68
183.0,94
174.0,78
513.0,173
789.0,295
237.0,111
4146.0,1677
375.0,158
150.0,65
97.0,47
134.0,60
223.0,107
167.0,75
126.0,59
311.0,140
173.0,83
439.0,197
363.0,131
1415.0,558
335.0,155
888.0,349
252.0,114
1653.0,664
1813.0,976
211.0,91
1511.0,661
395.0,160
894.0,325
130.0,62
219.0,95
562.0,230
88.0,41
2919.0,1252
89.0,39
183.0,75
480.0,225
74.0,27
276.0,114
107.0,52
179.0,79
282.0,121
156.0,75
796.0,323
244.0,101
168.0,64
703.0,305
401.0,181
316.0,149
476.0,198
297.0,123
217.0,92
2131.0,880
2841.0,1203
1343.0,549
527.0,210
221.0,77
156.0,67
72.0,29
938.0,334
387.0,159
554.0,233
193.0,91
533.0,232
129.0,57
100.0,52
36.0,14
76.0,26
24.0,12
98.0,43
62.0,24
221.0,101
145.0,73
53.0,20
149.0,66
2147.0,713
11.0,4
512.0,193
590.0,219
7913.0,3100
442.0,177
1133.0,466
330.0,110
2265.0,816
819.0,328
406.0,163
3803.0,1328
1149.0,405
979.0,366
43.0,14
439.0,177
626.0,208
2688.0,894
248.0,92
516.0,212
232.0,98
424.0,151
551.0,224
1332.0,473
1417.0,534
3395.0,1270
235.0,93
1566.0,620
932.0,394
49.0,22
877.0,323
88.0,34
240.0,95
248.0,105
457.0,172
304.0,120
124.0,54
1370.0,549
2737.0,1032
620.0,255
814.0,321
2001.0,741
2153.0,836
766.0,280
260.0,101
792.0,320
304.0,113
866.0,334
4749.0,1672
124.0,41
1931.0,677
620.0,248
259.0,103
8236.0,3303
346.0,120
114.0,52
992.0,409
224.0,78
494.0,189
59.0,21
258.0,100
275.0,104
227.0,81
369.0,160
295.0,113
1356.0,561
321.0,139
2461.0,982
189.0,71
2467.0,883
306.0,104
1034.0,410
518.0,193
3257.0,1254
765.0,265
143.0,61
753.0,330
49.0,23
1069.0,409
91.0,39
101.0,55
1000.0,352
786.0,287
93.0,30
1760.0,668
312.0,120
197.0,86
228.0,109
217.0,90
225.0,105
369.0,168
150.0,73
618.0,210
123.0,48
138.0,62
677.0,297
431.0,173
2249.0,860
92.0,45
250.0,101
161.0,63
107.0,47
76.0,42
1348.0,490
71.0,29
25.0,11
164.0,80
33.0,14
145.0,55
270.0,105
34.0,15
61.0,25
15.0,7
25.0,9
53.0,26
16.0,8
117.0,54
561.0,221
86.0,42
15.0,7
203.0,84
239.0,91
9.0,5
16.0,6
15.0,7
26.0,14
29.0,9
64.0,25
73.0,33
29.0,15
118.0,49
10.0,5
37.0,18
22.0,12
45.0,23
112.0,54
538.0,230
8.0,4
605.0,236
2708.0,1015
149.0,57
83.0,34
182.0,81
144.0,64
25.0,10
30.0,15
1931.0,592
59.0,24
103.0,46
55.0,25
47.0,23
1336.0,569
16.0,10
181.0,79
45.0,15
86.0,43
139.0,50
678.0,278
579.0,258
109.0,61
566.0,219
142.0,61
21.0,12
56.0,28
27.0,8
24.0,9
278.0,117
14477.0,5108
314.0,129
18.0,8
34.0,16
515.0,188
16.0,8
499.0,215
2092.0,763
205.0,91
94.0,37
340.0,140
173.0,80
124.0,61
169.0,69
8.0,4
465.0,195
110.0,42
9.0,3
43.0,17
72.0,35
202.0,86
12.0,7
1195.0,510
22.0,12
153.0,72
675.0,276
95.0,41
71.0,31
171.0,63
336.0,152
28.0,15
18.0,11
130.0,48
19.0,10
292.0,120
61.0,32
100.0,55
21.0,9
121.0,47
74.0,31
101.0,54
309.0,152
127.0,60
12.0,4
52.0,24
149.0,68
1107.0,425
21.0,11
51.0,24
1034.0,447
60.0,26
71.0,35
16.0,7
22.0,13
181.0,72
168.0,71
178.0,82
11.0,7
520.0,197
142.0,72
30.0,12
43.0,21
119.0,59
1929.0,709
75.0,32
75.0,35
273.0,116
242.0,113
62.0,35
81.0,36
1403.0,577
40.0,18
10.0,4
453.0,188
164.0,66
119.0,55
575.0,218
38.0,14
51.0,19
341.0,139
528.0,212
21.0,7
71.0,29
539.0,202
11.0,4
20.0,10
83.0,41
47.0,20
54.0,23
91.0,37
62.0,27
242.0,108
81.0,38
53.0,28
161.0,77
306.0,139
28.0,14
15.0,7
87.0,39
18.0,9
122.0,60
9.0,6
1007.0,382
43.0,18
185.0,70
60.0,28
9.0,5
17.0,7
37.0,15
6894.0,2471
573.0,252
60.0,26
13.0,6
120.0,49
532.0,199
113.0,46
115.0,56
207.0,92
12.0,6
102.0,48
176.0,70
302.0,133
424.0,161
302.0,101
145.0,64
105.0,43
42.0,19
1333.0,552
66.0,33
60.0,25
152.0,74
68.0,35
27.0,13
50.0,20
214.0,109
74.0,30
3240.0,1365
576.0,239
1024.0,438
227.0,87
25.0,14
185.0,80
187.0,76
194.0,88
58.0,28
240.0,98
86.0,37
93.0,44
81.0,49
94.0,34
78.0,38
35.0,24
181.0,70
22.0,11
129.0,65
81.0,47
70.0,31
51.0,18
84.0,32
135.0,67
105.0,57
205.0,134
98.0,43
55.0,27
71.0,27
60.0,31
81.0,52
100.0,42
227.0,109
206.0,82
113.0,44
397.0,138
155.0,71
182.0,65
34.0,16
48.0,28
134.0,57
132.0,57
38.0,18
87.0,46
1691.0,583
57.0,30
85.0,44
383.0,165
5880.0,2089
126.0,62
22.0,13
21.0,14
230.0,99
42.0,24
43.0,14
175.0,85
205.0,92
37.0,18
294.0,121
134.0,58
110.0,54
172.0,68
121.0,59
106.0,49
181.0,65
13.0,7
118.0,52
1526.0,667
50.0,15
50.0,15
36.0,12
27.0,13
62.0,20
446.0,169
33.0,11
13.0,6
61.0,22
57.0,29
20.0,6
570.0,171
337.0,109
59.0,24
7.0,3
19.0,7
84.0,31
65.0,25
16.0,6
690.0,257
378.0,143
570.0,170
10502.0,3405
980.0,352
2648.0,832
1715.0,501
632.0,235
1299.0,446
890.0,343
193.0,73
125.0,47
216.0,73
581.0,230
8895.0,2817
451.0,170
324.0,106
449.0,154
1080.0,398
455.0,166
418.0,159
564.0,198
5438.0,1716
281.0,87
159.0,60
827.0,327
207.0,79
76.0,28
137.0,59
186.0,71
102.0,38
345.0,130
121.0,51
168.0,73
702.0,291
1434.0,516
560.0,222
880.0,302
464.0,202
46.0,16
483.0,190
152.0,60
796.0,319
384.0,149
197.0,82
95.0,44
83.0,31
574.0,232
298.0,139
554.0,228
1248.0,501
107.0,51
192.0,69
943.0,346
262.0,94
276.0,111
304.0,132
1882.0,700
317.0,123
1121.0,451
56.0,26
51.0,20
344.0,124
105.0,43
2573.0,853
332.0,145
501.0,190
400.0,147
777.0,275
136.0,58
156.0,64
67.0,32
55.0,27
53.0,19
597.0,234
76.0,32
32.0,16
98.0,47
1395.0,490
89.0,33
257.0,114
297.0,127
47.0,24
44.0,20
105.0,42
123.0,48
232.0,97
171.0,73
65.0,31
257.0,104
41.0,22
526.0,205
182.0,98
113.0,45
115.0,54
259.0,110
104.0,43
30.0,14
286.0,117
102.0,49
108.0,51
124.0,56
174.0,71
427.0,183
185.0,86
954.0,327
350.0,140
200.0,84
645.0,231
292.0,124
440.0,187
204.0,89
239.0,111
178.0,78
123.0,53
174.0,67
146.0,61
627.0,242
225.0,88
383.0,162
142.0,59
2624.0,1086
622.0,256
275.0,119
746.0,320
3882.0,1714
245.0,96
67.0,26
182.0,79
507.0,205
192.0,82
381.0,151
76.0,36
212.0,95
42.0,16
117.0,50
131.0,56
92.0,37
108.0,51
71.0,30
851.0,319
142.0,53
79.0,33
188.0,85
167.0,69
151.0,70
102.0,48
1337.0,550
129.0,59
250.0,96
114.0,47
142.0,64
168.0,72
