incidencerate,medincome
392.2,48840
373.7,52273
416.9,69115
326.6,33998
307.3,27882
389.1,32570
439.8,48368
396.2,45283
439.2,54872
234.0,44235
482.4,54298
424.0,107250
347.1,76661
410.8,83603
451.0,59286
454.3,41385
379.6,62529
400.2,64752
310.5,59379
283.5,48940
454.7,32750
436.7,70687
373.8,42310
389.8,46394
357.5,46765
415.5,60658
395.3,57659
372.0,39625
372.9,41248
400.5,45439
414.8,50106
472.9,39904
403.9,56193
435.9,44163
382.1,46336
408.0,47631
400.0,33043
307.1,57242
402.1,58487
414.3,47006
318.5,73274
496.2,57732
497.3,61259
507.1,70074
413.9,53953
442.9,49072
415.4,57737
473.1,84026
572.8,82596
494.7,90039
517.7,74576
488.6,54280
470.3,65217
408.2,36377
419.3,45308
387.2,54232
537.3,38121
422.1,45743
467.3,36460
395.4,41624
312.7,57235
448.2,46061
472.8,48846
479.8,44145
376.6,46371
428.1,45916
335.0,48030
483.4,47991
451.3,41930
441.8,51175
424.1,58419
451.5,39408
441.2,47985
446.1,56365
434.3,45158
470.4,53945
422.0,56160
457.2,49790
423.2,52260
448.8,40968
498.7,48881
440.1,48430
478.1,54400
466.3,43701
471.9,43661
478.4,36774
494.3,42946
459.2,52978
483.9,52776
514.4,49040
464.9,59377
484.1,77364
387.6,53828
278.5,68471
321.4,52411
414.5,52075
451.2,42659
491.6,54782
420.9,44026
455.0,51237
484.9,39999
315.2,75920
420.9,50243
483.8,40701
457.1,47841
481.7,55335
412.7,48683
452.0,50266
415.9,46943
572.8,41211
492.4,52852
472.2,42079
467.5,69346
474.7,76584
472.2,52850
432.3,46835
483.9,52711
452.9,51003
397.6,42838
416.6,50437
436.5,79358
426.1,58225
434.9,63166
280.9,59701
409.3,48624
392.1,45721
484.2,44427
412.7,51434
438.5,57192
365.9,63575
451.0,57427
436.8,45251
411.3,55354
416.9,49713
458.1,54716
352.0,77222
403.5,72604
402.7,75348
359.3,56800
448.0,50802
397.1,55520
467.5,36544
415.7,44811
355.4,39615
541.3,33650
443.1,46288
497.4,41010
502.3,38454
554.1,22640
560.9,25562
448.4,37096
487.2,38366
486.8,48018
468.1,35019
491.8,26408
464.5,28271
446.7,37367
432.0,33015
441.6,40797
444.2,51389
438.8,38869
527.4,38471
475.7,32239
517.1,43374
511.5,26439
478.1,36118
445.6,39937
460.5,66671
462.7,33428
438.7,37554
501.0,36810
473.8,31963
419.5,37686
457.9,35185
423.5,28730
425.4,34429
478.6,34526
495.5,38465
492.4,32459
506.1,30078
468.2,40198
428.8,34794
432.5,26204
483.7,58368
535.9,32049
543.8,27877
461.8,34338
376.2,38975
506.8,41136
463.6,29227
447.4,28456
474.6,40975
415.1,37026
445.6,35550
523.3,30689
461.3,37667
402.1,31607
469.1,40397
496.1,30292
431.7,35425
549.9,34073
437.7,27596
474.4,34403
561.9,34494
493.2,30313
420.1,35425
344.4,56309
372.9,45997
482.6,41302
419.6,38139
382.1,37581
454.5,41462
500.6,33236
468.7,39033
459.7,50305
469.6,45431
460.1,35774
508.2,43111
477.4,49384
399.4,44410
422.7,47705
460.8,39017
492.8,32170
430.1,60970
400.7,33631
444.2,43049
417.7,51831
506.4,43298
492.0,61598
459.5,51221
458.6,51885
481.5,42166
488.0,37379
383.9,37173
435.4,34987
433.7,41610
319.3,42174
424.4,34411
317.9,31805
424.9,31486
475.2,51978
453.5494221,50886
453.5494221,45341
453.5494221,60279
453.5494221,58543
453.5494221,52795
453.5494221,39732
453.5494221,47709
453.5494221,50525
453.5494221,55074
453.5494221,59596
453.5494221,52394
453.5494221,53796
453.5494221,56927
453.5494221,44101
453.5494221,76104
453.5494221,53484
453.5494221,53378
453.5494221,46318
453.5494221,53739
453.5494221,65549
453.5494221,44896
453.5494221,44520
453.5494221,49852
453.5494221,43038
453.5494221,57878
453.5494221,47723
453.5494221,47901
453.5494221,53903
453.5494221,63924
453.5494221,48645
453.5494221,42221
453.5494221,44774
453.5494221,55378
453.5494221,54149
453.5494221,41527
453.5494221,51923
453.5494221,44846
453.5494221,52749
453.5494221,38848
453.5494221,52744
453.5494221,47351
453.5494221,45856
453.5494221,65373
453.5494221,54701
453.5494221,44932
453.5494221,46533
453.5494221,42381
453.5494221,49152
453.5494221,46468
453.5494221,48383
453.5494221,43083
453.5494221,45443
453.5494221,48460
453.5494221,56032
453.5494221,51175
453.5494221,47381
453.5494221,52795
453.5494221,52300
453.5494221,43100
453.5494221,41303
453.5494221,45945
453.5494221,56591
453.5494221,59773
453.5494221,52476
453.5494221,50639
453.5494221,46859
453.5494221,59160
453.5494221,49109
453.5494221,43264
453.5494221,53447
453.5494221,39764
453.5494221,35502
453.5494221,37087
469.7,31558
425.8,39801
513.5,54331
460.2,44732
502.2,37666
564.2,34126
493.5,24868
483.6,66939
490.8,42812
525.0,40224
492.9,41538
639.7,41910
522.1,28647
490.0,41547
536.2,54924
460.2,35219
525.0,42640
501.3,37705
518.7,52349
534.8,40701
503.6,43615
541.3,34991
501.8,29344
469.2,36736
522.6,49012
572.1,25215
405.4,39184
474.6,35664
436.0,41382
407.4,63184
379.5,40593
373.1,66846
337.1,31227
358.5,59603
364.0,44562
259.0,68352
429.1,62380
381.7,45784
421.7,33881
389.5,61501
427.2,46838
489.0,85336
486.8,65809
480.9,73413
488.8,76365
500.1,60387
490.4,65813
471.5,78653
431.4,57547
494.6,39546
488.0,34425
527.2,54271
485.9,64632
493.3,53316
483.7,69992
447.8,44325
475.3,47121
501.1,44800
434.4,39980
464.8,47973
438.3,51485
495.8,26504
381.9,35256
412.7,43242
452.5,36383
471.3,58539
346.3,58403
453.7,38484
392.9,36945
436.6,32121
504.4,46013
444.2,46139
510.4,33315
444.8,51556
412.0,36788
403.4,35849
383.8,40788
354.9,38783
434.7,38419
336.8,31734
422.3,35371
370.1,38494
447.5,40094
484.0,39930
413.7,35787
474.5,50758
259.6,35651
430.4,47548
367.9,40205
380.1,38071
474.6,46895
400.1,49147
390.5,45463
477.3,40124
496.9,37433
391.5,38473
293.5,33017
399.1,51673
490.1,39860
409.8,55472
408.0,42754
394.6,57411
490.1,56728
430.2,55952
463.6,36923
440.9,37065
440.7,47069
407.5,42945
422.3,52225
470.7,45219
430.8,45162
490.2,42768
488.3,32054
441.8,66560
414.6,42722
466.5,44852
426.5,58587
410.8,52109
427.8,56443
444.5,51907
421.4,38177
425.5,36374
1206.9,40207
422.4,40881
456.7,51642
499.8,68421
472.0,44402
438.1,38027
445.2,29652
456.9,41800
458.4,58205
372.0,36566
430.1,46071
376.6,41469
471.1,36953
495.5,46614
436.7,45574
408.4,36424
451.5,50348
415.5,52032
449.4,49136
496.9,40774
416.7,51199
445.9,49774
442.7,34872
419.5,33750
466.5,49204
452.5,35313
508.2,34837
448.8,41370
470.4,32645
415.2,35977
460.6,41514
465.5,59525
491.5,36699
374.7,35522
362.3,36627
393.5,46083
438.5,55602
456.5,52662
516.3,58392
454.6,34964
456.0,33450
478.7,54107
460.2,38517
434.6,41806
467.1,43783
483.4,41015
465.5,46874
391.8,39706
463.9,34172
454.5,48226
493.2,38183
405.2,48014
413.3,35580
430.4,43476
449.8,41037
418.2,39900
475.3,41423
460.2,45710
354.7,32215
362.3,56139
445.5,56465
484.1,35964
375.8,35592
441.8,42967
391.6,49780
398.1,35274
474.0,50507
420.3,58921
461.0,49056
442.3,47391
452.6,48831
378.2,56067
438.3,38966
414.8,54089
447.3,65555
465.6,45132
449.0,57517
453.1,39956
455.6,38155
393.2,40524
485.2,52387
419.4,41504
535.4,51978
400.3,41304
368.7,36340
431.3,54063
441.7,44835
358.5,42753
491.2,37230
438.0,39234
397.2,40328
418.7,44976
449.9,40226
477.4,44358
441.7,35094
470.8,48554
497.6,51839
459.5,53519
469.8,52626
587.4,53277
432.2,41662
430.1,44780
453.6,44841
403.7,51754
479.7,62526
405.2,51470
403.1,86354
493.1,34116
456.6,43602
426.0,47369
498.3,39757
489.6,34216
484.8,52650
427.9,41983
500.2,46484
458.9,58558
472.5,46177
462.1,50302
471.1,42029
479.5,62158
488.5,49453
445.6,42645
459.8,41547
476.5,39881
485.0,44138
439.3,46610
446.9,53026
460.5,97802
479.9,49234
459.5,59921
441.6,44947
359.6,54666
456.2,36675
441.0,72264
437.3,59382
473.4,41940
467.1,48973
431.9,51498
433.4,45195
445.5,42582
386.3,53645
427.0,41611
460.6,42374
316.5,50069
463.7,47824
445.6,41161
462.5,40148
514.7,46908
483.8,58697
445.7,41608
478.5,57308
460.6,50753
465.9,52331
370.7,42344
449.1,52996
463.1,41316
502.1,42240
460.9,68405
435.2,38081
443.1,52606
449.5,51868
423.2,40646
451.9,42994
438.4,37923
456.7,49846
466.1,41814
355.1,43953
457.1,50345
451.2,47358
443.4,43341
460.5,54868
468.0,40512
458.7,52047
471.1,49516
425.6,56519
445.1,41948
449.2,42466
424.2,46447
503.0,37625
439.0,45003
405.0,50774
449.3,47745
437.5,50453
478.5,43160
447.1,46128
459.6,69900
425.0,49565
456.6,37633
444.5,72973
475.4,45048
417.8,50106
412.3,42214
403.0,54996
461.7,47905
416.8,31386
447.6,51885
442.0,35910
360.4,56664
415.1,46625
472.6,44309
440.5,38187
429.4,39933
457.3,39743
444.1,44010
429.2,66315
375.0,33387
466.8,52903
470.7,60179
501.2,52385
458.5,44326
476.1,51041
479.9,46890
472.4,55936
478.4,43343
484.4,47242
500.5,77823
509.4,60851
488.3,42703
560.4,40257
496.1,49252
442.6,51573
486.2,85613
495.4,43202
473.5,40230
486.0,44224
515.2,46938
481.8,43969
460.3,62692
457.2,52967
525.2,62867
514.8,46965
478.6,45476
495.6,36902
462.1,37794
468.5,50434
458.9,48084
501.4,49897
423.7,44531
425.1,42611
495.4,43810
393.5,48944
482.8,45098
449.7,57369
493.6,44903
471.7,53861
484.0,58283
500.0,44222
521.8,45211
465.6,44723
501.6,43559
485.2,40957
460.1,59492
490.8,79576
490.8,54547
525.7,61510
471.7,40429
479.1,54920
533.5,39037
461.5,58375
456.5,40323
485.5,43169
474.1,49117
455.9,45706
538.3,44191
434.1,49552
487.3,47360
432.9,47996
487.7,43810
496.8,44651
482.5,55796
437.2,48663
476.6,53536
529.8,55882
488.7,58471
473.2,68246
491.8,61923
469.0,69203
473.3,47278
492.3,70705
430.9,35525
384.5,48537
400.8,25530
475.4,43124
437.6,30349
396.7,32205
442.1,55427
462.0,52436
468.0,41209
462.1,52752
494.2,38947
492.8,37537
428.1,34949
479.9,32268
459.0,35558
451.3,35640
425.3,30516
483.1,56388
399.8,44129
460.4,35490
443.6,42232
484.6,44283
461.7,49659
389.4,48140
419.3,53203
412.1,47227
435.6,46705
403.3,40796
368.1,32215
466.0,37801
305.1,58425
374.4,39256
376.9,42966
445.8,77281
454.8,38465
441.6,39025
421.4,50993
437.3,39870
448.8,41593
394.5,37497
389.8,38655
393.8,46484
410.9,64533
432.1,38280
330.7,40837
428.1,57378
446.1,47018
342.6,32722
367.0,61098
360.8,49614
334.7,36627
537.2,43523
437.5,41876
402.0,41499
382.0,38304
429.0,45717
300.1,35924
328.3,36856
386.3,37263
323.8,35069
428.7,36591
436.4,55555
261.0,35554
436.2,61157
380.9,40081
388.1,41914
374.9,35491
410.4,43211
386.3,49830
418.6,44519
376.7,36898
399.0,88516
413.3,42099
410.4,46526
344.1,34206
331.1,50709
443.8,58333
259.5,49947
414.0,52814
435.0,49369
369.7,42291
512.8,49012
461.9,49261
441.0,50020
352.5,44795
424.4,61825
400.8,40213
415.8,33324
423.4,41207
448.0,50698
410.4,36992
459.5,53872
433.8,54230
429.7,48461
275.7,64182
387.4,35607
399.8,59569
411.7,66505
457.8,40921
341.0,34368
440.9,41521
390.1,50124
438.5,55472
409.9,44076
372.1,33698
441.6,47299
214.8,32086
476.8,43385
422.7,51508
435.8,63054
417.2,52030
409.1,52185
448.1,41017
294.6,46364
445.6,41147
385.1,36929
353.8,46200
444.7,55926
420.3,41079
424.2,43986
385.2,77764
411.2,44113
376.8,38750
297.2,39335
445.2,40884
352.0,36929
469.5,41009
373.6,37111
411.8,50699
307.1,38012
414.2,47041
365.5,52895
405.0,45159
401.7,47123
432.2,37256
318.9,60810
316.6,51481
395.8,45096
430.0,45719
303.0,41589
430.6,39649
432.6,43488
403.0,39030
423.4,34452
331.3,61896
307.6,42820
420.8,41587
355.1,32248
343.3,53440
279.3,32580
388.7,74811
429.4,41849
369.1,38564
434.0,41363
434.5,48996
438.1,70929
407.5,42839
425.0,37954
443.5,38895
442.2,43091
350.0,39135
427.3,38742
400.2,51222
438.4,61773
469.0,54458
484.3,48834
466.6,40862
410.0,48822
456.8,67655
387.8,41813
323.1,44817
522.6,41401
461.8,38224
211.1,34258
428.5,47834
428.0,64636
359.8,62376
325.4,37294
434.6,34340
345.2,39006
522.1,43654
419.5,43194
423.0,38607
399.9,46427
423.1,35701
369.6,32826
464.5,43087
443.3,51958
335.8,38000
412.8,50361
467.2,56444
382.6,55130
403.3,35772
275.6,49309
429.6,45363
425.4,51733
356.3,26699
457.8,44110
355.4,42780
350.1,60435
374.1,37527
